;dataset;featureset;imputation;dim_reduction;init_train_len;test_len;split_perc;kernel;alpha;n_restarts_optimizer;standardize;normalize_y;one_step_ahead;optimized_kernel;RMSE_Train_RW;RMSE_Test_RW;RMSE_Train_seasRW;RMSE_Test_seasRW;RMSE_Train_HA;RMSE_Test_HA;RMSE_Train;RMSE_Test;shuf_cv_rmse_mean;shuf_cv_rmse_std;shuf_cv_rmse_0;shuf_cv_rmse_1;shuf_cv_rmse_2;shuf_cv_rmse_3;shuf_cv_rmse_4
1725;GeneralCashierData_weekly;full;mean;pca;;;0,8;31.6**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=1);0,1;0;False;False;False;316**2 * Matern(length_scale=9.84, nu=1.5) + WhiteKernel(noise_level=1e+05);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;453,1157929519;1631,8922910472;585,9059933929;90,6637183702;502,3956055128;656,5888297539;474,8334935221;580,3401346273;715,3719035481
1159;GeneralCashierData_weekly;full;mean;pca;;;0,8;31.6**2 + ExpSineSquared(length_scale=1, periodicity=52) + RBF(length_scale=1);1,00E-05;10;True;True;False;0.00316**2 + ExpSineSquared(length_scale=0.651, periodicity=41) + RBF(length_scale=9.6);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0257515801;1488,3862434225;585,9297864679;65,4002515807;517,7087376105;684,5933943126;519,5417406893;572,726145521;635,0789142061
261;GeneralCashierData_weekly;full;mean;None;;;0,8;RationalQuadratic(alpha=1, length_scale=1);1,00E-05;10;True;False;False;RationalQuadratic(alpha=0.609, length_scale=2.44);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0091557995;1729,2425843141;585,9310976165;106,803891531;481,7830565519;657,805192121;460,1095447028;585,3092180777;744,6484766291
736;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) * RBF(length_scale=1) + ExpSineSquared(length_scale=1, periodicity=52);0,001;0;True;False;False;Matern(length_scale=148, nu=1.5) * RBF(length_scale=1.63) + ExpSineSquared(length_scale=1.03, periodicity=42.7);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,4540112543;1698,8021034652;585,9765006861;94,2452184804;495,2419719736;663,2492500069;476,6707481045;574,1370034875;720,5835298579
86;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + RBF(length_scale=1);0,001;5;True;False;False;Matern(length_scale=8.83, nu=1.5) + RBF(length_scale=0.000581);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,4444365419;1698,1310962242;586,1711756549;95,4141945427;493,8392493657;662,9655946936;482,0619901542;565,0612558644;726,9277881967
841;GeneralCashierData_weekly;full;mean;None;;;0,8;Matern(length_scale=1, nu=1.5) + RBF(length_scale=1);0,001;0;True;False;False;Matern(length_scale=8.83, nu=1.5) + RBF(length_scale=0.000581);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,4444365419;1698,1310962242;586,1711756549;95,4141945427;493,8392493657;662,9655946936;482,0619901542;565,0612558644;726,9277881967
1557;GeneralCashierData_weekly;full;mean;pca;;;0,8;31.6**2 * ExpSineSquared(length_scale=1, periodicity=52) + Matern(length_scale=1, nu=1.5);1,00E-05;5;True;True;False;0.224**2 * ExpSineSquared(length_scale=1e-05, periodicity=41) + Matern(length_scale=7.21, nu=1.5);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0209681308;1494,392042286;586,273457414;77,3132795194;504,4068655391;673,6403015368;487,435303282;606,2342732963;659,6505434157
1920;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) + RBF(length_scale=1);1;0;False;False;False;Matern(length_scale=3.43, nu=1.5) + RBF(length_scale=10);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;299,5075040879;1650,6391969758;586,3652028775;99,7733791863;497,6252325079;658,9576856965;459,3578421909;586,3477245493;729,5375294429
1796;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) + ExpSineSquared(length_scale=1, periodicity=52) * RationalQuadratic(alpha=1, length_scale=1);1;0;False;False;False;Matern(length_scale=9.38, nu=1.5) + ExpSineSquared(length_scale=0.929, periodicity=62) * RationalQuadratic(alpha=0.206, length_scale=1.12);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;298,073060536;1659,3183759787;586,365672201;99,7727411173;497,6252202625;658,9665853153;459,357663023;586,3482654945;729,5306269097
1105;GeneralCashierData_weekly;full;mean;pca;;;0,8;Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=52) + RationalQuadratic(alpha=1, length_scale=1);1,00E-05;0;False;False;False;Matern(length_scale=0.809, nu=1.5) * ExpSineSquared(length_scale=1.51, periodicity=52.1) + RationalQuadratic(alpha=1.56, length_scale=6.65);652,9382131362;2515,4288690268;621,2710237946;1646,8342582174;1042,9003157049;2313,0242499868;0,0044765818;1664,8611299699;586,4483177452;93,4784616453;500,6345371843;664,242226425;471,9925942056;578,1340902938;717,2381406172
